Region,County,First Dose,Series Complete,Report as of
Finger Lakes,Ontario,2447,34,1/4/21
Mid-Hudson,Orange,4280,28,1/4/21
Finger Lakes,Orleans,465,2,1/4/21
Central New York,Oswego,1859,6,1/4/21
Mohawk Valley,Otsego,1335,1,1/4/21
Mid-Hudson,Putnam,952,10,1/4/21
New York City,Queens,19741,134,1/4/21
Capital Region,Rensselaer,3244,13,1/4/21
New York City,Richmond,6054,80,1/4/21
Mid-Hudson,Rockland,3509,23,1/4/21
Capital Region,Saratoga,4676,39,1/4/21
Capital Region,Schenectady,3335,50,1/4/21
Mohawk Valley,Schoharie,365,3,1/4/21
Southern Tier,Schuyler,264,1,1/4/21
Finger Lakes,Seneca,285,2,1/4/21
North Country,St. Lawrence,2610,8,1/4/21
Southern Tier,Steuben,916,3,1/4/21
Long Island,Suffolk,19365,76,1/4/21
Mid-Hudson,Sullivan,1188,4,1/4/21
Southern Tier,Tioga,522,1,1/4/21
Southern Tier,Tompkins,1314,2,1/4/21
Mid-Hudson,Ulster,2801,13,1/4/21
Capital Region,Warren,1464,3,1/4/21
Capital Region,Washington,971,1,1/4/21
Finger Lakes,Wayne,1475,23,1/4/21
Mid-Hudson,Westchester,12858,85,1/4/21
Finger Lakes,Wyoming,725,1,1/4/21
Finger Lakes,Yates,258,0,1/4/21
Capital Region,Albany,6539,19,1/3/21
Western New York,Allegany,356,1,1/3/21
New York City,Bronx,9205,29,1/3/21
Southern Tier,Broome,2087,2,1/3/21
Western New York,Cattaraugus,884,3,1/3/21
Central New York,Cayuga,1496,1,1/3/21
Western New York,Chautauqua,1681,4,1/3/21
Southern Tier,Chemung,653,0,1/3/21
Southern Tier,Chenango,459,0,1/3/21
North Country,Clinton,2166,2,1/3/21
Capital Region,Columbia,558,2,1/3/21
Central New York,Cortland,633,2,1/3/21
Southern Tier,Delaware,447,1,1/3/21
Mid-Hudson,Dutchess,3498,18,1/3/21
Western New York,Erie,16748,14,1/3/21
North Country,Essex,523,0,1/3/21
North Country,Franklin,1663,8,1/3/21
Mohawk Valley,Fulton,652,0,1/3/21
Finger Lakes,Genesee,683,0,1/3/21
Capital Region,Greene,341,0,1/3/21
North Country,Hamilton,56,0,1/3/21
Mohawk Valley,Herkimer,837,2,1/3/21
North Country,Jefferson,1891,2,1/3/21
New York City,Kings,16735,62,1/3/21
North Country,Lewis,439,1,1/3/21
Finger Lakes,Livingston,902,1,1/3/21
Central New York,Madison,1259,1,1/3/21
Finger Lakes,Monroe,13923,20,1/3/21
Mohawk Valley,Montgomery,1026,1,1/3/21
Long Island,Nassau,17872,54,1/3/21
New York City,New York,21626,73,1/3/21
Western New York,Niagara,3299,2,1/3/21
Mohawk Valley,Oneida,3905,5,1/3/21
Central New York,Onondaga,8444,17,1/3/21
Finger Lakes,Ontario,2345,2,1/3/21
Mid-Hudson,Orange,4172,25,1/3/21
Finger Lakes,Orleans,433,0,1/3/21
Central New York,Oswego,1692,2,1/3/21
Mohawk Valley,Otsego,1024,1,1/3/21
Mid-Hudson,Putnam,873,6,1/3/21
New York City,Queens,18352,70,1/3/21
Capital Region,Rensselaer,2909,11,1/3/21
New York City,Richmond,5687,18,1/3/21
Mid-Hudson,Rockland,3247,16,1/3/21
Capital Region,Saratoga,4117,18,1/3/21
Capital Region,Schenectady,2955,21,1/3/21
Mohawk Valley,Schoharie,318,2,1/3/21
Southern Tier,Schuyler,242,1,1/3/21
Finger Lakes,Seneca,267,0,1/3/21
North Country,St. Lawrence,2395,2,1/3/21
Southern Tier,Steuben,803,2,1/3/21
Long Island,Suffolk,18119,60,1/3/21
Mid-Hudson,Sullivan,1179,4,1/3/21
Southern Tier,Tioga,352,1,1/3/21
Southern Tier,Tompkins,1267,0,1/3/21
Mid-Hudson,Ulster,2613,12,1/3/21
Capital Region,Warren,1344,1,1/3/21
Capital Region,Washington,682,0,1/3/21
Finger Lakes,Wayne,1395,0,1/3/21
Mid-Hudson,Westchester,11786,47,1/3/21
Finger Lakes,Wyoming,704,0,1/3/21
Finger Lakes,Yates,251,0,1/3/21
Capital Region,Albany,6237,13,1/2/21
Western New York,Allegany,355,1,1/2/21
New York City,Bronx,8951,29,1/2/21
Southern Tier,Broome,2020,2,1/2/21
Western New York,Cattaraugus,884,3,1/2/21
Central New York,Cayuga,1489,1,1/2/21
Western New York,Chautauqua,1679,4,1/2/21
Southern Tier,Chemung,645,0,1/2/21
Southern Tier,Chenango,458,0,1/2/21
North Country,Clinton,2133,2,1/2/21
Capital Region,Columbia,547,2,1/2/21
Central New York,Cortland,608,1,1/2/21
Southern Tier,Delaware,447,1,1/2/21
Mid-Hudson,Dutchess,3453,18,1/2/21
Western New York,Erie,16667,14,1/2/21
North Country,Essex,522,0,1/2/21
North Country,Franklin,1663,8,1/2/21
Mohawk Valley,Fulton,648,0,1/2/21
Finger Lakes,Genesee,671,0,1/2/21
Capital Region,Greene,333,0,1/2/21
North Country,Hamilton,56,0,1/2/21
Mohawk Valley,Herkimer,819,2,1/2/21
North Country,Jefferson,1886,1,1/2/21
New York City,Kings,16250,59,1/2/21
North Country,Lewis,430,1,1/2/21
Finger Lakes,Livingston,882,1,1/2/21
Central New York,Madison,1244,1,1/2/21
Finger Lakes,Monroe,13163,20,1/2/21
Mohawk Valley,Montgomery,1018,1,1/2/21
Long Island,Nassau,17412,52,1/2/21
New York City,New York,20702,68,1/2/21
Western New York,Niagara,3296,2,1/2/21
Mohawk Valley,Oneida,3796,5,1/2/21
Central New York,Onondaga,8146,15,1/2/21
Finger Lakes,Ontario,2301,2,1/2/21
Mid-Hudson,Orange,3827,23,1/2/21
Finger Lakes,Orleans,427,0,1/2/21
Central New York,Oswego,1677,2,1/2/21
Mohawk Valley,Otsego,1024,1,1/2/21
Mid-Hudson,Putnam,827,6,1/2/21
New York City,Queens,17723,67,1/2/21
Capital Region,Rensselaer,2816,11,1/2/21
New York City,Richmond,4983,15,1/2/21
Mid-Hudson,Rockland,3155,16,1/2/21
Capital Region,Saratoga,4009,11,1/2/21
Capital Region,Schenectady,2797,8,1/2/21
Mohawk Valley,Schoharie,317,2,1/2/21
Southern Tier,Schuyler,240,1,1/2/21
Finger Lakes,Seneca,262,0,1/2/21
North Country,St. Lawrence,2352,2,1/2/21
Southern Tier,Steuben,788,2,1/2/21
Long Island,Suffolk,17880,59,1/2/21
Mid-Hudson,Sullivan,1158,4,1/2/21
Southern Tier,Tioga,349,1,1/2/21
Southern Tier,Tompkins,1263,0,1/2/21
Mid-Hudson,Ulster,2550,11,1/2/21
Capital Region,Warren,1305,1,1/2/21
Capital Region,Washington,653,0,1/2/21
Finger Lakes,Wayne,1342,0,1/2/21
Mid-Hudson,Westchester,11412,44,1/2/21
Finger Lakes,Wyoming,701,0,1/2/21
Finger Lakes,Yates,250,0,1/2/21
Capital Region,Albany,5759,12,1/1/21
Western New York,Allegany,327,1,1/1/21
New York City,Bronx,7944,26,1/1/21
Southern Tier,Broome,1833,2,1/1/21
Western New York,Cattaraugus,671,2,1/1/21
Central New York,Cayuga,1431,1,1/1/21
Western New York,Chautauqua,1009,3,1/1/21
Southern Tier,Chemung,580,0,1/1/21
Southern Tier,Chenango,402,0,1/1/21
North Country,Clinton,1711,2,1/1/21
Capital Region,Columbia,302,1,1/1/21
Central New York,Cortland,590,1,1/1/21
Southern Tier,Delaware,413,1,1/1/21
Mid-Hudson,Dutchess,2439,16,1/1/21
Western New York,Erie,13998,11,1/1/21
North Country,Essex,503,0,1/1/21
North Country,Franklin,1501,6,1/1/21
Mohawk Valley,Fulton,537,0,1/1/21
Finger Lakes,Genesee,275,0,1/1/21
Capital Region,Greene,232,0,1/1/21
North Country,Hamilton,54,0,1/1/21
Mohawk Valley,Herkimer,758,2,1/1/21
North Country,Jefferson,1849,1,1/1/21
New York City,Kings,15611,57,1/1/21
North Country,Lewis,421,1,1/1/21
Finger Lakes,Livingston,728,1,1/1/21
Central New York,Madison,1178,1,1/1/21
Finger Lakes,Monroe,10889,19,1/1/21
Mohawk Valley,Montgomery,820,1,1/1/21
Long Island,Nassau,15980,49,1/1/21
New York City,New York,19912,67,1/1/21
Western New York,Niagara,2399,1,1/1/21
Mohawk Valley,Oneida,2873,5,1/1/21
Central New York,Onondaga,7564,14,1/1/21
Finger Lakes,Ontario,1955,1,1/1/21
Mid-Hudson,Orange,3240,19,1/1/21
Finger Lakes,Orleans,349,0,1/1/21
Central New York,Oswego,1612,2,1/1/21
Mohawk Valley,Otsego,946,1,1/1/21
Mid-Hudson,Putnam,641,5,1/1/21
New York City,Queens,16809,66,1/1/21
Capital Region,Rensselaer,2404,11,1/1/21
New York City,Richmond,4874,15,1/1/21
Mid-Hudson,Rockland,2643,14,1/1/21
Capital Region,Saratoga,3404,10,1/1/21
Capital Region,Schenectady,2434,8,1/1/21
Mohawk Valley,Schoharie,301,2,1/1/21
Southern Tier,Schuyler,237,1,1/1/21
Finger Lakes,Seneca,253,0,1/1/21
North Country,St. Lawrence,2153,1,1/1/21
Southern Tier,Steuben,650,1,1/1/21
Long Island,Suffolk,14422,54,1/1/21
Mid-Hudson,Sullivan,1053,4,1/1/21
Southern Tier,Tioga,265,1,1/1/21
Southern Tier,Tompkins,1156,0,1/1/21
Mid-Hudson,Ulster,1851,11,1/1/21
Capital Region,Warren,1169,1,1/1/21
Capital Region,Washington,609,0,1/1/21
Finger Lakes,Wayne,1031,0,1/1/21
Mid-Hudson,Westchester,9448,41,1/1/21
Finger Lakes,Wyoming,426,0,1/1/21
Finger Lakes,Yates,241,0,1/1/21
Capital Region,Albany,5645,12,12/31/20
Western New York,Allegany,321,1,12/31/20
New York City,Bronx,7623,25,12/31/20
Southern Tier,Broome,1830,2,12/31/20
Western New York,Cattaraugus,654,2,12/31/20
Central New York,Cayuga,1425,1,12/31/20
Western New York,Chautauqua,1004,3,12/31/20
Southern Tier,Chemung,579,0,12/31/20
Southern Tier,Chenango,402,0,12/31/20
North Country,Clinton,1675,2,12/31/20
Capital Region,Columbia,291,1,12/31/20
Central New York,Cortland,586,1,12/31/20
Southern Tier,Delaware,413,1,12/31/20
Mid-Hudson,Dutchess,2027,15,12/31/20
Western New York,Erie,13597,11,12/31/20
North Country,Essex,500,0,12/31/20
North Country,Franklin,1446,6,12/31/20
Mohawk Valley,Fulton,536,0,12/31/20
Finger Lakes,Genesee,251,0,12/31/20
Capital Region,Greene,226,0,12/31/20
North Country,Hamilton,54,0,12/31/20
Mohawk Valley,Herkimer,758,2,12/31/20
North Country,Jefferson,1847,1,12/31/20
New York City,Kings,14779,53,12/31/20
North Country,Lewis,421,1,12/31/20
Finger Lakes,Livingston,656,1,12/31/20
Central New York,Madison,1159,1,12/31/20
Finger Lakes,Monroe,10032,18,12/31/20
Mohawk Valley,Montgomery,818,1,12/31/20
Long Island,Nassau,15317,46,12/31/20
New York City,New York,19704,65,12/31/20
Western New York,Niagara,2370,1,12/31/20
Mohawk Valley,Oneida,2867,5,12/31/20
Central New York,Onondaga,7159,13,12/31/20
Finger Lakes,Ontario,1906,1,12/31/20
Mid-Hudson,Orange,2916,18,12/31/20
Finger Lakes,Orleans,332,0,12/31/20
Central New York,Oswego,1588,2,12/31/20
Mohawk Valley,Otsego,945,1,12/31/20
Mid-Hudson,Putnam,535,5,12/31/20
New York City,Queens,15586,66,12/31/20
Capital Region,Rensselaer,2330,11,12/31/20
New York City,Richmond,4736,15,12/31/20
Mid-Hudson,Rockland,2504,12,12/31/20
Capital Region,Saratoga,3340,9,12/31/20
Capital Region,Schenectady,2395,8,12/31/20
Mohawk Valley,Schoharie,299,2,12/31/20
Southern Tier,Schuyler,237,1,12/31/20
Finger Lakes,Seneca,253,0,12/31/20
North Country,St. Lawrence,2128,1,12/31/20
Southern Tier,Steuben,648,1,12/31/20
Long Island,Suffolk,14166,54,12/31/20
Mid-Hudson,Sullivan,1014,4,12/31/20
Southern Tier,Tioga,265,1,12/31/20
Southern Tier,Tompkins,1155,0,12/31/20
Mid-Hudson,Ulster,1700,11,12/31/20
Capital Region,Warren,1109,1,12/31/20
Capital Region,Washington,580,0,12/31/20
Finger Lakes,Wayne,1001,0,12/31/20
Mid-Hudson,Westchester,9320,41,12/31/20
Finger Lakes,Wyoming,251,0,12/31/20
Finger Lakes,Yates,241,0,12/31/20
Capital Region,Albany,5033,11,12/30/20
Western New York,Allegany,304,1,12/30/20
New York City,Bronx,6412,22,12/30/20
Southern Tier,Broome,1374,2,12/30/20
Western New York,Cattaraugus,603,2,12/30/20
Central New York,Cayuga,1073,1,12/30/20
Western New York,Chautauqua,776,2,12/30/20
Southern Tier,Chemung,251,0,12/30/20
Southern Tier,Chenango,330,0,12/30/20
North Country,Clinton,1447,2,12/30/20
Capital Region,Columbia,259,1,12/30/20
Central New York,Cortland,442,1,12/30/20
Southern Tier,Delaware,360,1,12/30/20
Mid-Hudson,Dutchess,1796,12,12/30/20
Western New York,Erie,11667,9,12/30/20
North Country,Essex,431,0,12/30/20
North Country,Franklin,1202,4,12/30/20
Mohawk Valley,Fulton,406,0,12/30/20
Finger Lakes,Genesee,188,0,12/30/20
Capital Region,Greene,203,0,12/30/20
North Country,Hamilton,49,0,12/30/20
Mohawk Valley,Herkimer,616,0,12/30/20
North Country,Jefferson,350,1,12/30/20
New York City,Kings,13648,48,12/30/20
North Country,Lewis,278,1,12/30/20
Finger Lakes,Livingston,565,1,12/30/20
Central New York,Madison,1036,1,12/30/20
Finger Lakes,Monroe,8673,15,12/30/20
Mohawk Valley,Montgomery,591,1,12/30/20
Long Island,Nassau,13611,41,12/30/20
New York City,New York,18131,58,12/30/20
Western New York,Niagara,2130,1,12/30/20
Mohawk Valley,Oneida,2395,4,12/30/20
Central New York,Onondaga,5876,9,12/30/20
Finger Lakes,Ontario,1584,1,12/30/20
Mid-Hudson,Orange,2370,15,12/30/20
Finger Lakes,Orleans,175,0,12/30/20
Central New York,Oswego,1016,2,12/30/20
Mohawk Valley,Otsego,782,0,12/30/20
Mid-Hudson,Putnam,454,5,12/30/20
New York City,Queens,13464,58,12/30/20
Capital Region,Rensselaer,2069,9,12/30/20
New York City,Richmond,4353,13,12/30/20
Mid-Hudson,Rockland,2214,11,12/30/20
Capital Region,Saratoga,3021,7,12/30/20
Capital Region,Schenectady,2067,7,12/30/20
Mohawk Valley,Schoharie,251,1,12/30/20
Southern Tier,Schuyler,152,1,12/30/20
Finger Lakes,Seneca,204,0,12/30/20
North Country,St. Lawrence,1818,1,12/30/20
Southern Tier,Steuben,534,1,12/30/20
Long Island,Suffolk,11408,36,12/30/20
Mid-Hudson,Sullivan,863,4,12/30/20
Southern Tier,Tioga,181,1,12/30/20
Southern Tier,Tompkins,947,0,12/30/20
Mid-Hudson,Ulster,1476,9,12/30/20
Capital Region,Warren,1019,1,12/30/20
Capital Region,Washington,507,0,12/30/20
Finger Lakes,Wayne,638,0,12/30/20
Mid-Hudson,Westchester,8032,35,12/30/20
Finger Lakes,Wyoming,127,0,12/30/20
Finger Lakes,Yates,207,0,12/30/20
Capital Region,Albany,4113,10,12/29/20
Western New York,Allegany,276,1,12/29/20
New York City,Bronx,5266,18,12/29/20
Southern Tier,Broome,515,1,12/29/20
Western New York,Cattaraugus,542,2,12/29/20
Central New York,Cayuga,882,1,12/29/20
Western New York,Chautauqua,531,2,12/29/20
Southern Tier,Chemung,102,0,12/29/20
Southern Tier,Chenango,247,0,12/29/20
North Country,Clinton,1184,1,12/29/20
Capital Region,Columbia,238,1,12/29/20
Central New York,Cortland,376,1,12/29/20
Southern Tier,Delaware,253,1,12/29/20
Mid-Hudson,Dutchess,1359,10,12/29/20
Western New York,Erie,9895,8,12/29/20
North Country,Essex,333,0,12/29/20
North Country,Franklin,953,3,12/29/20
Mohawk Valley,Fulton,320,0,12/29/20
Finger Lakes,Genesee,151,0,12/29/20
Capital Region,Greene,164,0,12/29/20
North Country,Hamilton,34,0,12/29/20
Mohawk Valley,Herkimer,349,0,12/29/20
North Country,Jefferson,258,1,12/29/20
New York City,Kings,12308,42,12/29/20
North Country,Lewis,205,0,12/29/20
Finger Lakes,Livingston,423,1,12/29/20
Central New York,Madison,792,0,12/29/20
Finger Lakes,Monroe,6788,13,12/29/20
Mohawk Valley,Montgomery,469,0,12/29/20
Long Island,Nassau,11895,37,12/29/20
New York City,New York,16123,54,12/29/20
Western New York,Niagara,1646,1,12/29/20
Mohawk Valley,Oneida,2070,4,12/29/20
Central New York,Onondaga,4367,5,12/29/20
Finger Lakes,Ontario,1217,1,12/29/20
Mid-Hudson,Orange,1929,14,12/29/20
Finger Lakes,Orleans,150,0,12/29/20
Central New York,Oswego,659,2,12/29/20
Mohawk Valley,Otsego,715,0,12/29/20
Mid-Hudson,Putnam,381,4,12/29/20
New York City,Queens,11853,48,12/29/20
Capital Region,Rensselaer,1672,7,12/29/20
New York City,Richmond,3741,12,12/29/20
Mid-Hudson,Rockland,1878,7,12/29/20
Capital Region,Saratoga,2451,7,12/29/20
Capital Region,Schenectady,1632,5,12/29/20
Mohawk Valley,Schoharie,185,1,12/29/20
Southern Tier,Schuyler,70,1,12/29/20
Finger Lakes,Seneca,164,0,12/29/20
North Country,St. Lawrence,1641,1,12/29/20
Southern Tier,Steuben,398,0,12/29/20
Long Island,Suffolk,8709,27,12/29/20
Mid-Hudson,Sullivan,316,2,12/29/20
Southern Tier,Tioga,91,0,12/29/20
Southern Tier,Tompkins,795,0,12/29/20
Mid-Hudson,Ulster,1221,5,12/29/20
Capital Region,Warren,849,1,12/29/20
Capital Region,Washington,409,0,12/29/20
Finger Lakes,Wayne,381,0,12/29/20
Mid-Hudson,Westchester,6910,32,12/29/20
Finger Lakes,Wyoming,109,0,12/29/20
Finger Lakes,Yates,180,0,12/29/20
Capital Region,Albany,3596,8,12/28/20
Western New York,Allegany,225,1,12/28/20
New York City,Bronx,4302,16,12/28/20
Southern Tier,Broome,413,1,12/28/20
Western New York,Cattaraugus,460,1,12/28/20
Central New York,Cayuga,652,0,12/28/20
Western New York,Chautauqua,455,2,12/28/20
Southern Tier,Chemung,47,0,12/28/20
Southern Tier,Chenango,177,0,12/28/20
North Country,Clinton,826,1,12/28/20
Capital Region,Columbia,215,0,12/28/20
Central New York,Cortland,266,1,12/28/20
Southern Tier,Delaware,226,1,12/28/20
Mid-Hudson,Dutchess,1207,9,12/28/20
Western New York,Erie,8580,7,12/28/20
North Country,Essex,255,0,12/28/20
North Country,Franklin,726,1,12/28/20
Mohawk Valley,Fulton,254,0,12/28/20
Finger Lakes,Genesee,139,0,12/28/20
Capital Region,Greene,148,0,12/28/20
North Country,Hamilton,17,0,12/28/20
Mohawk Valley,Herkimer,268,0,12/28/20
North Country,Jefferson,168,1,12/28/20
New York City,Kings,10512,38,12/28/20
North Country,Lewis,139,0,12/28/20
Finger Lakes,Livingston,318,0,12/28/20
Central New York,Madison,645,0,12/28/20
Finger Lakes,Monroe,6059,9,12/28/20
Mohawk Valley,Montgomery,379,0,12/28/20
Long Island,Nassau,10066,31,12/28/20
New York City,New York,13593,43,12/28/20
Western New York,Niagara,1308,1,12/28/20
Mohawk Valley,Oneida,1752,3,12/28/20
Central New York,Onondaga,3817,4,12/28/20
Finger Lakes,Ontario,1005,1,12/28/20
Mid-Hudson,Orange,1733,13,12/28/20
Finger Lakes,Orleans,102,0,12/28/20
Central New York,Oswego,492,2,12/28/20
Mohawk Valley,Otsego,605,0,12/28/20
Mid-Hudson,Putnam,308,4,12/28/20
New York City,Queens,9789,40,12/28/20
Capital Region,Rensselaer,1366,6,12/28/20
New York City,Richmond,2962,10,12/28/20
Mid-Hudson,Rockland,1566,5,12/28/20
Capital Region,Saratoga,2189,7,12/28/20
Capital Region,Schenectady,1428,4,12/28/20
Mohawk Valley,Schoharie,92,1,12/28/20
Southern Tier,Schuyler,43,0,12/28/20
Finger Lakes,Seneca,131,0,12/28/20
North Country,St. Lawrence,1428,1,12/28/20
Southern Tier,Steuben,290,0,12/28/20
Long Island,Suffolk,7549,25,12/28/20
Mid-Hudson,Sullivan,276,2,12/28/20
Southern Tier,Tioga,54,0,12/28/20
Southern Tier,Tompkins,488,0,12/28/20
Mid-Hudson,Ulster,1060,4,12/28/20
Capital Region,Warren,692,1,12/28/20
Capital Region,Washington,325,0,12/28/20
Finger Lakes,Wayne,296,0,12/28/20
Mid-Hudson,Westchester,5837,29,12/28/20
Finger Lakes,Wyoming,100,0,12/28/20
Finger Lakes,Yates,143,0,12/28/20
Capital Region,Albany,3052,6,12/27/20
Western New York,Allegany,159,1,12/27/20
New York City,Bronx,3663,11,12/27/20
Southern Tier,Broome,371,1,12/27/20
Western New York,Cattaraugus,380,0,12/27/20
Central New York,Cayuga,611,0,12/27/20
Western New York,Chautauqua,367,1,12/27/20
Southern Tier,Chemung,29,0,12/27/20
Southern Tier,Chenango,126,0,12/27/20
North Country,Clinton,665,1,12/27/20
Capital Region,Columbia,191,0,12/27/20
Central New York,Cortland,251,1,12/27/20
Southern Tier,Delaware,193,1,12/27/20
Mid-Hudson,Dutchess,1099,8,12/27/20
Western New York,Erie,7435,5,12/27/20
North Country,Essex,219,0,12/27/20
North Country,Franklin,587,1,12/27/20
Mohawk Valley,Fulton,203,0,12/27/20
Finger Lakes,Genesee,123,0,12/27/20
Capital Region,Greene,127,0,12/27/20
North Country,Hamilton,12,0,12/27/20
Mohawk Valley,Herkimer,213,0,12/27/20
North Country,Jefferson,140,0,12/27/20
New York City,Kings,9349,33,12/27/20
North Country,Lewis,69,0,12/27/20
Finger Lakes,Livingston,260,0,12/27/20
Central New York,Madison,494,0,12/27/20
Finger Lakes,Monroe,5124,8,12/27/20
Mohawk Valley,Montgomery,282,0,12/27/20
Long Island,Nassau,8803,22,12/27/20
New York City,New York,12046,31,12/27/20
Western New York,Niagara,1166,1,12/27/20
Mohawk Valley,Oneida,1464,2,12/27/20
Central New York,Onondaga,3096,4,12/27/20
Finger Lakes,Ontario,722,1,12/27/20
Mid-Hudson,Orange,1652,12,12/27/20
Finger Lakes,Orleans,78,0,12/27/20
Central New York,Oswego,349,1,12/27/20
Mohawk Valley,Otsego,350,0,12/27/20
Mid-Hudson,Putnam,271,4,12/27/20
New York City,Queens,8449,36,12/27/20
Capital Region,Rensselaer,1084,6,12/27/20
New York City,Richmond,2720,9,12/27/20
Mid-Hudson,Rockland,1455,5,12/27/20
Capital Region,Saratoga,1841,4,12/27/20
Capital Region,Schenectady,1216,4,12/27/20
Mohawk Valley,Schoharie,79,1,12/27/20
Southern Tier,Schuyler,21,0,12/27/20
Finger Lakes,Seneca,96,0,12/27/20
North Country,St. Lawrence,1228,1,12/27/20
Southern Tier,Steuben,257,0,12/27/20
Long Island,Suffolk,6225,22,12/27/20
Mid-Hudson,Sullivan,254,2,12/27/20
Southern Tier,Tioga,42,0,12/27/20
Southern Tier,Tompkins,303,0,12/27/20
Mid-Hudson,Ulster,914,4,12/27/20
Capital Region,Warren,563,1,12/27/20
Capital Region,Washington,273,0,12/27/20
Finger Lakes,Wayne,211,0,12/27/20
Mid-Hudson,Westchester,5212,25,12/27/20
Finger Lakes,Wyoming,90,0,12/27/20
Finger Lakes,Yates,111,0,12/27/20
Capital Region,Albany,2786,6,12/26/20
Western New York,Allegany,156,1,12/26/20
New York City,Bronx,3468,11,12/26/20
Southern Tier,Broome,369,1,12/26/20
Western New York,Cattaraugus,355,0,12/26/20
Central New York,Cayuga,607,0,12/26/20
Western New York,Chautauqua,365,1,12/26/20
Southern Tier,Chemung,29,0,12/26/20
Southern Tier,Chenango,126,0,12/26/20
North Country,Clinton,485,1,12/26/20
Capital Region,Columbia,183,0,12/26/20
Central New York,Cortland,250,1,12/26/20
Southern Tier,Delaware,192,1,12/26/20
Mid-Hudson,Dutchess,1083,8,12/26/20
Western New York,Erie,7287,5,12/26/20
North Country,Essex,138,0,12/26/20
North Country,Franklin,454,0,12/26/20
Mohawk Valley,Fulton,188,0,12/26/20
Finger Lakes,Genesee,113,0,12/26/20
Capital Region,Greene,120,0,12/26/20
North Country,Hamilton,10,0,12/26/20
Mohawk Valley,Herkimer,211,0,12/26/20
North Country,Jefferson,135,0,12/26/20
New York City,Kings,8727,31,12/26/20
North Country,Lewis,24,0,12/26/20
Finger Lakes,Livingston,250,0,12/26/20
Central New York,Madison,487,0,12/26/20
Finger Lakes,Monroe,4685,8,12/26/20
Mohawk Valley,Montgomery,276,0,12/26/20
Long Island,Nassau,8467,21,12/26/20
New York City,New York,11353,30,12/26/20
Western New York,Niagara,971,1,12/26/20
Mohawk Valley,Oneida,1440,2,12/26/20
Central New York,Onondaga,3005,4,12/26/20
Finger Lakes,Ontario,686,1,12/26/20
Mid-Hudson,Orange,1625,11,12/26/20
Finger Lakes,Orleans,72,0,12/26/20
Central New York,Oswego,340,0,12/26/20
Mohawk Valley,Otsego,350,0,12/26/20
Mid-Hudson,Putnam,263,4,12/26/20
New York City,Queens,7871,31,12/26/20
Capital Region,Rensselaer,948,4,12/26/20
New York City,Richmond,2597,8,12/26/20
Mid-Hudson,Rockland,1397,4,12/26/20
Capital Region,Saratoga,1674,3,12/26/20
Capital Region,Schenectady,1056,3,12/26/20
Mohawk Valley,Schoharie,76,1,12/26/20
Southern Tier,Schuyler,21,0,12/26/20
Finger Lakes,Seneca,95,0,12/26/20
North Country,St. Lawrence,1206,1,12/26/20
Southern Tier,Steuben,253,0,12/26/20
Long Island,Suffolk,5897,18,12/26/20
Mid-Hudson,Sullivan,251,2,12/26/20
Southern Tier,Tioga,42,0,12/26/20
Southern Tier,Tompkins,301,0,12/26/20
Mid-Hudson,Ulster,893,4,12/26/20
Capital Region,Warren,429,1,12/26/20
Capital Region,Washington,204,0,12/26/20
Finger Lakes,Wayne,198,0,12/26/20
Mid-Hudson,Westchester,4933,24,12/26/20
Finger Lakes,Wyoming,85,0,12/26/20
Finger Lakes,Yates,107,0,12/26/20
Capital Region,Albany,2616,6,12/25/20
Western New York,Allegany,155,1,12/25/20
New York City,Bronx,3245,10,12/25/20
Southern Tier,Broome,260,0,12/25/20
Western New York,Cattaraugus,355,0,12/25/20
Central New York,Cayuga,604,0,12/25/20
Western New York,Chautauqua,364,1,12/25/20
Southern Tier,Chemung,29,0,12/25/20
Southern Tier,Chenango,114,0,12/25/20
North Country,Clinton,480,1,12/25/20
Capital Region,Columbia,180,0,12/25/20
Central New York,Cortland,248,1,12/25/20
Southern Tier,Delaware,191,1,12/25/20
Mid-Hudson,Dutchess,1040,8,12/25/20
Western New York,Erie,7141,5,12/25/20
North Country,Essex,124,0,12/25/20
North Country,Franklin,396,0,12/25/20
Mohawk Valley,Fulton,183,0,12/25/20
Finger Lakes,Genesee,94,0,12/25/20
Capital Region,Greene,110,0,12/25/20
North Country,Hamilton,10,0,12/25/20
Mohawk Valley,Herkimer,203,0,12/25/20
North Country,Jefferson,129,0,12/25/20
New York City,Kings,8342,30,12/25/20
North Country,Lewis,24,0,12/25/20
Finger Lakes,Livingston,211,0,12/25/20
Central New York,Madison,382,0,12/25/20
Finger Lakes,Monroe,4032,7,12/25/20
Mohawk Valley,Montgomery,271,0,12/25/20
Long Island,Nassau,8089,18,12/25/20
New York City,New York,10455,24,12/25/20
Western New York,Niagara,956,1,12/25/20
Mohawk Valley,Oneida,1372,2,12/25/20
Central New York,Onondaga,2895,4,12/25/20
Finger Lakes,Ontario,653,1,12/25/20
Mid-Hudson,Orange,1594,11,12/25/20
Finger Lakes,Orleans,49,0,12/25/20
Central New York,Oswego,333,0,12/25/20
Mohawk Valley,Otsego,347,0,12/25/20
Mid-Hudson,Putnam,253,4,12/25/20
New York City,Queens,7401,26,12/25/20
Capital Region,Rensselaer,849,4,12/25/20
New York City,Richmond,2528,8,12/25/20
Mid-Hudson,Rockland,1347,4,12/25/20
Capital Region,Saratoga,1558,3,12/25/20
