Region,County,First Dose,Series Complete,Report as of
Mid-Hudson,Sullivan,51302,46546,11/10/22
Southern Tier,Tioga,25720,24341,11/10/22
Southern Tier,Tompkins,88638,80436,11/10/22
Mid-Hudson,Ulster,148346,135693,11/10/22
Capital Region,Warren,52443,49356,11/10/22
Capital Region,Washington,41919,39768,11/10/22
Finger Lakes,Wayne,65782,61897,11/10/22
Mid-Hudson,Westchester,884033,793617,11/10/22
Finger Lakes,Wyoming,23491,22207,11/10/22
Finger Lakes,Yates,14734,13725,11/10/22
Capital Region,Albany,254705,231683,11/9/22
Western New York,Allegany,23624,22061,11/9/22
New York City,Bronx,1225384,1088385,11/9/22
Southern Tier,Broome,135739,126458,11/9/22
Western New York,Cattaraugus,44132,40954,11/9/22
Central New York,Cayuga,49988,46695,11/9/22
Western New York,Chautauqua,82071,75548,11/9/22
Southern Tier,Chemung,49587,46595,11/9/22
Southern Tier,Chenango,31487,29650,11/9/22
North Country,Clinton,59414,55826,11/9/22
Capital Region,Columbia,46085,42082,11/9/22
Central New York,Cortland,29848,28144,11/9/22
Southern Tier,Delaware,26710,24774,11/9/22
Mid-Hudson,Dutchess,231409,208571,11/9/22
Western New York,Erie,718128,665642,11/9/22
North Country,Essex,27946,26018,11/9/22
North Country,Franklin,31338,29276,11/9/22
Mohawk Valley,Fulton,30282,28527,11/9/22
Finger Lakes,Genesee,37936,35745,11/9/22
Capital Region,Greene,32426,29517,11/9/22
North Country,Hamilton,3547,3297,11/9/22
Mohawk Valley,Herkimer,37050,34785,11/9/22
North Country,Jefferson,75904,63635,11/9/22
New York City,Kings,2096525,1883952,11/9/22
North Country,Lewis,14516,13830,11/9/22
Finger Lakes,Livingston,40544,38369,11/9/22
Central New York,Madison,54634,51127,11/9/22
Finger Lakes,Monroe,587394,545414,11/9/22
Mohawk Valley,Montgomery,35495,33489,11/9/22
Long Island,Nassau,1252972,1141597,11/9/22
New York City,New York,1629435,1395961,11/9/22
Western New York,Niagara,151104,141983,11/9/22
Mohawk Valley,Oneida,156531,145457,11/9/22
Central New York,Onondaga,369618,339423,11/9/22
Finger Lakes,Ontario,85596,80181,11/9/22
Mid-Hudson,Orange,265023,241242,11/9/22
Finger Lakes,Orleans,24473,23011,11/9/22
Central New York,Oswego,79672,74966,11/9/22
Mohawk Valley,Otsego,40614,37914,11/9/22
Mid-Hudson,Putnam,83262,74767,11/9/22
New York City,Queens,2207375,1983322,11/9/22
Capital Region,Rensselaer,119540,110647,11/9/22
New York City,Richmond,392291,359681,11/9/22
Mid-Hudson,Rockland,233501,210092,11/9/22
Capital Region,Saratoga,188528,175839,11/9/22
Capital Region,Schenectady,136511,126137,11/9/22
Mohawk Valley,Schoharie,19457,18448,11/9/22
Southern Tier,Schuyler,11281,10438,11/9/22
Finger Lakes,Seneca,19686,18431,11/9/22
North Country,St. Lawrence,74389,69372,11/9/22
Southern Tier,Steuben,56276,52859,11/9/22
Long Island,Suffolk,1240487,1128692,11/9/22
Mid-Hudson,Sullivan,51302,46546,11/9/22
Southern Tier,Tioga,25720,24341,11/9/22
Southern Tier,Tompkins,88631,80424,11/9/22
Mid-Hudson,Ulster,148338,135690,11/9/22
Capital Region,Warren,52443,49356,11/9/22
Capital Region,Washington,41917,39767,11/9/22
Finger Lakes,Wayne,65775,61890,11/9/22
Mid-Hudson,Westchester,883967,793575,11/9/22
Finger Lakes,Wyoming,23490,22206,11/9/22
Finger Lakes,Yates,14734,13722,11/9/22
Capital Region,Albany,254692,231668,11/8/22
Western New York,Allegany,23621,22060,11/8/22
New York City,Bronx,1225257,1088280,11/8/22
Southern Tier,Broome,135729,126454,11/8/22
