Report Date,County,Place of Fatality,Deaths by County of Residence
11/2/22,Cortland,109,129
11/2/22,Delaware,28,86
11/2/22,Dutchess,755,707
11/2/22,Erie,3137,2797
11/2/22,Essex,40,70
11/2/22,Franklin,33,51
11/2/22,Fulton,107,180
11/2/22,Genesee,173,203
11/2/22,Greene,36,140
11/2/22,Hamilton,0,5
11/2/22,Herkimer,72,208
11/2/22,Jefferson,127,147
11/2/22,Kings,8385,9260
11/2/22,Lewis,21,53
11/2/22,Livingston,88,129
11/2/22,Madison,127,140
11/2/22,Manhattan,6336,3854
11/2/22,Monroe,2058,1745
11/2/22,Montgomery,198,223
11/2/22,Nassau,4997,4083
11/2/22,Niagara,401,617
11/2/22,Non-NYS,0,525
11/2/22,Oneida,877,847
11/2/22,Onondaga,1405,1145
11/2/22,Ontario,257,201
11/2/22,Orange,1109,1006
11/2/22,Orleans,59,124
11/2/22,Oswego,125,215
11/2/22,Otsego,157,99
11/2/22,Putnam,116,136
11/2/22,Queens,6989,8623
11/2/22,Rensselaer,245,294
11/2/22,Richmond,1465,1495
11/2/22,Rockland,905,939
11/2/22,Saratoga,274,381
11/2/22,Schenectady,320,340
11/2/22,Schoharie,16,40
11/2/22,Schuyler,8,30
11/2/22,Seneca,38,94
11/2/22,St. Lawrence,191,210
11/2/22,Statewide Total,58879,58879
11/2/22,Steuben,211,263
11/2/22,Suffolk,4669,4670
11/2/22,Sullivan,103,143
11/2/22,Tioga,42,89
11/2/22,Tompkins,105,97
11/2/22,Ulster,215,393
11/2/22,Warren,241,141
11/2/22,Washington,42,128
11/2/22,Wayne,112,199
11/2/22,Westchester,3144,2859
11/2/22,Wyoming,72,90
11/2/22,Yates,26,40
11/1/22,Albany,1018,569
11/1/22,Allegany,95,163
11/1/22,Bronx,4924,5516
11/1/22,Broome,666,565
11/1/22,Cattaraugus,246,240
11/1/22,Cayuga,128,168
11/1/22,Chautauqua,312,323
11/1/22,Chemung,320,250
11/1/22,Chenango,76,128
11/1/22,Clinton,152,110
11/1/22,Columbia,171,159
11/1/22,Cortland,109,129
11/1/22,Delaware,28,86
11/1/22,Dutchess,755,707
11/1/22,Erie,3133,2793
11/1/22,Essex,40,70
11/1/22,Franklin,33,51
11/1/22,Fulton,107,180
11/1/22,Genesee,173,203
11/1/22,Greene,36,140
11/1/22,Hamilton,0,5
11/1/22,Herkimer,72,208
11/1/22,Jefferson,126,146
11/1/22,Kings,8383,9257
11/1/22,Lewis,21,53
11/1/22,Livingston,88,129
11/1/22,Madison,127,140
11/1/22,Manhattan,6333,3853
11/1/22,Monroe,2056,1743
11/1/22,Montgomery,198,223
11/1/22,Nassau,4995,4080
11/1/22,Niagara,401,617
11/1/22,Non-NYS,0,524
11/1/22,Oneida,877,847
11/1/22,Onondaga,1405,1145
11/1/22,Ontario,257,201
11/1/22,Orange,1109,1006
11/1/22,Orleans,59,124
11/1/22,Oswego,125,215
11/1/22,Otsego,157,99
11/1/22,Putnam,116,136
11/1/22,Queens,6988,8621
11/1/22,Rensselaer,245,294
11/1/22,Richmond,1465,1495
11/1/22,Rockland,904,938
11/1/22,Saratoga,273,380
11/1/22,Schenectady,320,340
11/1/22,Schoharie,16,40
11/1/22,Schuyler,8,30
11/1/22,Seneca,38,94
11/1/22,St. Lawrence,191,210
11/1/22,Statewide Total,58853,58853
11/1/22,Steuben,211,263
11/1/22,Suffolk,4668,4670
11/1/22,Sullivan,103,143
11/1/22,Tioga,42,89
11/1/22,Tompkins,105,97
11/1/22,Ulster,215,393
11/1/22,Warren,241,141
11/1/22,Washington,42,128
11/1/22,Wayne,112,199
